	CSCH_1	JG05_1	CMAL_1	CINC_1	CREN_1	CREN_2	CREN_3	CREN_4	CREN_5	CREN_6	CREN_7	CREN_8	CREN_9	CREN_10
Cre03.g187500	1.349377006702055	0.25717902521967123	0.8848220195144632	1.7140429662293226	1.3754647771407416	1.4108132238002367	1.6127137539520238	1.1130546849168232	1.3501954351418266	0.9435141336992194	1.7820333416861778	0.8741491079798791	1.026041594679298	0.9957684864650962
Cre03.g800348	0.8431308474523309	0.8367620475332433	0.4680541536101541	0.6968509987388225	1.2174055402952721	1.112655716195936	1.5025862613901875	1.6542275754713969	1.4983391710094953	1.131457268191358	1.5151317869444634	1.2357120169190834	1.0829684692554595	1.1376610418118571
Cre03.g188650	0.8446544441574306	0.23672723387284633	0.9326221012702992	1.103951196691311	1.3138065714708007	1.1143020075701877	1.5782066080934687	1.3846292172617851	1.2811323790428701	1.4277850431098673	1.3788284349754545	1.3807622556119714	1.8133687662056117	1.3272459932012797
Cre03.g188700	0.31387504039006553	-0.12110221657668296	0.40493753440338853	1.1749079522445918	2.1781041252998836	0.6408111190334227	0.804669896136882	0.8384285403704996	0.749723707347387	1.373728591187323	1.0717459956608395	0.9126306763217442	1.249050610920536	1.0752222383161245
Cre03.g188750	1.3561311275119212	0.7864658375973637	0.71436710941084	1.1320656168025338	1.3811067166999742	0.7362314739104376	0.8850988954766434	0.6222351395160475	0.8307392312733528	0.9471025212787545	0.5087420331154316	0.6550767497645937	0.92407233339671	0.633059687299392
Cre03.g188950	1.285224266780787	0.9143816717571087	0.4677213141944586	0.9538775943375137	0.7680923998499636	0.4677210207272232	0.39921335673395486	0.410157209930838	0.6426562726665798	0.7357574024197675	0.560115298048407	0.6552974736046744	0.8143901261833821	0.2683010157731632
Cre03.g189050	1.102711037094052	1.1065847160978914	0.9106792875104882	1.2699868718605647	0.9229115545851551	0.6069388509363244	0.7679700496296802	0.5499694280827752	0.9788177114450709	1.0863586822475078	0.5335360034055202	0.6434834422789908	0.8782101064004852	0.8459407125372423
Cre03.g189100	1.6867540419359213	0.9344487209961472	1.169285375462997	1.1880455493688193	1.2283590869293914	1.040862504303866	1.2530932065223288	0.9723465049679398	1.2749833075054013	1.2798086397605815	1.0919326910898857	1.1358587616535885	1.1749965370852833	1.0668456215455315
Cre03.g189400	2.155949104539758	1.5379731338334883	1.7623216586162453	2.0944046779162697	1.7538944810780244	1.8522449058011545	1.8184452043694594	1.7145849182341797	1.7530003581735356	1.7639987454052766	1.5548146173701527	1.8521427584515802	1.8644217267929943	1.6665181628882284
Cre03.g189450	2.1479132430914976	1.6750737188512808	1.3154653437389685	1.6563609535638968	1.2204693116217182	1.293238508451867	1.4395052115673963	1.4843389631290613	1.2611154901996113	1.487773070523082	1.2718465668873848	1.7025994178411166	1.3730752170598204	1.582841984809076
Cre03.g189500	1.8582537563030153	0.9760938151443159	1.8451448897687468	2.1757365201741887	1.2713284137320366	1.7190549174786292	1.7829298934313802	1.7595758334153777	1.9504362150588732	1.86752567607034	2.013866454410225	1.6967211219356395	1.6428113736632126	1.8767416131434558
