Line1	Line2	SNPs	euclidean_distance	substructure	Similarity
CC3060	CC2343	0.2232	234.2781447969377	NA1 x NA2	0.7767999999999999
CC3061	CC2343	0.2219	216.26331164480663	NA1 x NA2	0.7781
CC3063	CC2343	0.2296	226.49561188521477	NA1 x NA2	0.7704
CC3079	CC2343	0.2103	225.10828423501064	NA2	0.7897000000000001
CL3-1	CC2343	0.2024	249.5879488815169	NA2	0.7976
GB117	CC2343	0.2241	254.78280510543723	NA1 x NA2	0.7759
GB119	CC2343	0.2238	223.3321727299029	NA1 x NA2	0.7762
GB123	CC2343	0.223	238.73593727515174	NA1 x NA2	0.777
GB13	CC2343	0.2176	215.3997247433657	NA1 x NA2	0.7824
GB141	CC2343	0.2226	212.92826327337968	NA1 x NA2	0.7774
GB66	CC2343	0.2208	238.5258737532451	NA1 x NA2	0.7792
JG4-1	CC2343	0.1964	239.5135767332832	NA2	0.8036
W13-1	CC2343	0.2324	262.94050327652604	NA2	0.7676000000000001
W13-2	CC2343	0.2253	242.11988580776605	NA2	0.7746999999999999
CC2931	CC2344	0.1752	195.55978950488569	NA2	0.8248
CC2932	CC2344	0.1813	219.19560960888882	NA2	0.8187
CC3059	CC2344	0.1818	259.96023906635514	NA1 x NA2	0.8182
CC3060	CC2344	0.1808	231.62394252405247	NA1 x NA2	0.8192
CC3061	CC2344	0.1798	247.97045770576474	NA1 x NA2	0.8202
CC3063	CC2344	0.1868	224.658446299878	NA1 x NA2	0.8132
CC3079	CC2344	0.1696	234.55647164144668	NA2	0.8304
CL3-1	CC2344	0.1604	237.72009403140697	NA2	0.8396
GB117	CC2344	0.1799	222.31819495425668	NA1 x NA2	0.8201
GB119	CC2344	0.1849	201.26634916243012	NA1 x NA2	0.8150999999999999
GB123	CC2344	0.182	214.28954654769092	NA1 x NA2	0.8180000000000001
GB13	CC2344	0.1766	209.46014403165356	NA1 x NA2	0.8234
GB141	CC2344	0.1851	197.3003419731895	NA1 x NA2	0.8149
GB66	CC2344	0.1811	222.83092659080387	NA1 x NA2	0.8189
JG4-1	CC2344	0.1545	238.3446771018912	NA2	0.8455
W13-1	CC2344	0.1896	268.0062533782343	NA2	0.8104
W13-2	CC2344	0.1848	225.62365604193664	NA2	0.8152
